0,0.0
1,3.0
2,6.0
3,6.0
4,7.0
5,9.0
6,3.0
7,6.0
8,6.0
9,7.0
10,9.0
11,5.0
12,3.0
13,6.0
14,8.0
15,8.0
16,7.0
17,5.0
18,3.0
19,5.0
20,2.0
21,2.0
22,3.0
23,6.0
24,8.0
25,7.0
26,9.0
27,10.0
28,101.0
29,5.0
30,4.0
31,6.0
32,9.0
33,7.0
34,12.0
35,103.0
36,5.0
37,5.0
38,6.0
39,8.0
40,7.0
41,98.0
42,6.0
43,7.0
44,5.0
45,12.0
46,103.0
47,5.0
48,3.0
49,6.0
50,97.0
51,2.0
52,7.0
53,98.0
54,9.0
55,100.0
56,97.0
57,0.0
58,3.0
59,6.0
60,6.0
61,8.0
62,7.0
63,9.0
64,10.0
65,10.0
66,3.0
67,6.0
68,6.0
69,8.0
70,7.0
71,9.0
72,10.0
73,10.0
74,5.0
75,3.0
76,7.0
77,6.0
78,8.0
79,8.0
80,13.0
81,8.0
82,2.0
83,7.0
84,5.0
85,8.0
86,16.0
87,10.0
88,3.0
89,5.0
90,11.0
91,16.0
92,9.0
93,7.0
94,10.0
95,17.0
96,2.0
97,13.0
98,17.0
99,11.0
100,19.0
101,20.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,4.0
108,8.0
109,0.0
110,0.0
111,0.0
112,0.0
113,4.0
114,8.0
115,0.0
116,0.0
117,0.0
118,4.0
119,8.0
120,0.0
121,0.0
122,4.0
123,8.0
124,0.0
125,4.0
126,8.0
127,4.0
128,8.0
129,8.0
130,0.0
131,2.0
132,0.0
133,0.0
134,5.0
135,8.0
136,8.0
137,2.0
138,0.0
139,0.0
140,5.0
141,8.0
142,8.0
143,2.0
144,2.0
145,3.0
146,6.0
147,10.0
148,0.0
149,5.0
150,8.0
151,8.0
152,5.0
153,8.0
154,8.0
155,9.0
156,13.0
157,16.0
158,2.0
159,2.0
160,2.0
161,3.0
162,4.0
163,6.0
164,10.0
165,12.0
166,47.0
167,29.0
168,0.0
169,0.0
170,1.0
171,2.0
172,8.0
173,10.0
174,14.0
175,45.0
176,27.0
177,0.0
178,1.0
179,2.0
180,8.0
181,10.0
182,14.0
183,45.0
184,27.0
185,1.0
186,2.0
187,8.0
188,10.0
189,14.0
190,45.0
191,27.0
192,3.0
193,9.0
194,11.0
195,15.0
196,46.0
197,27.0
198,10.0
199,12.0
200,16.0
201,47.0
202,29.0
203,16.0
204,18.0
205,53.0
206,34.0
207,22.0
208,53.0
209,35.0
210,59.0
211,37.0
212,72.0
213,0.0
214,2.0
215,2.0
216,2.0
217,9.0
218,7.0
219,2.0
220,2.0
221,2.0
222,9.0
223,7.0
224,0.0
225,0.0
226,7.0
227,5.0
228,0.0
229,7.0
230,5.0
231,7.0
232,5.0
233,12.0
234,0.0
235,1.0
236,7.0
237,11.0
238,10.0
239,8.0
240,1.0
241,7.0
242,11.0
243,10.0
244,8.0
245,8.0
246,12.0
247,11.0
248,9.0
249,8.0
250,11.0
251,15.0
252,5.0
253,19.0
254,18.0
255,0.0
256,3.0
257,7.0
258,10.0
259,12.0
260,12.0
261,3.0
262,7.0
263,10.0
264,12.0
265,12.0
266,10.0
267,13.0
268,15.0
269,15.0
270,3.0
271,5.0
272,5.0
273,2.0
274,2.0
275,0.0
276,2.0
277,3.0
278,3.0
279,4.0
280,6.0
281,6.0
282,3.0
283,3.0
284,2.0
285,6.0
286,4.0
287,2.0
288,3.0
289,5.0
290,5.0
291,3.0
292,5.0
293,5.0
294,6.0
295,4.0
296,4.0
