NZ_CP007265.1,99.935,4699050,4700591,1542,0.0
NZ_CP007265.1,99.935,4567768,4569309,1542,0.0
NZ_CP007265.1,99.805,1107468,1109009,1542,0.0
NZ_CP007265.1,99.741,1774429,1775970,1542,0.0
NZ_CP007265.1,99.611,2725718,2727259,1542,0.0
NZ_CP007265.1,99.546,2767173,2768714,1542,0.0
NZ_CP007265.1,99.546,4600315,4601856,1542,0.0
NZ_CP007265.1,99.877,4606334,4607149,816,0.0
NZ_CP007390.1,99.935,4612115,4613656,1542,0.0
NZ_CP007390.1,99.935,4730510,4732051,1542,0.0
NZ_CP007390.1,99.805,3681278,3682819,1542,0.0
NZ_CP007390.1,99.741,470605,472146,1542,0.0
NZ_CP007390.1,99.611,4715030,4716571,1542,0.0
NZ_CP007390.1,99.546,4480396,4481937,1542,0.0
NZ_CP007390.1,99.546,1160856,1162397,1542,0.0
NZ_CP007390.1,99.353,4709729,4711272,1545,0.0
NZ_CP007390.1,99.245,4439028,4440482,1456,0.0
NZ_CP007390.1,99.529,4437756,4439027,1273,0.0
NZ_CP007390.1,99.895,4719177,4720129,953,0.0
NZ_CP007390.1,99.370,4749462,4749936,476,0.0
